name,city,region,address,verified
TERO X WILSON Padel Club,תל אביב,מרכז,"שטרית 2, תל אביב",true
פאדל ישראל - אוניברסיטת תל אביב,תל אביב,מרכז,"חיים לבנון 60, תל אביב",true
Padel Time - תל אביב,תל אביב,מרכז,"הרב קוסובסקי 69, תל אביב",true
פאדליר - הפארק הלאומי,רמת גן,מרכז,"שער ווינטר, רמת גן",true
מכבי כפר המכביה,רמת גן,מרכז,"פרץ ברנשטיין 7, רמת גן",true
Padel Net - ספורטן,פתח תקווה,מרכז,"גרינשפן 8, פתח תקווה",true
פאדל ישראל - פתח תקווה,פתח תקווה,מרכז,"המפלסים 21, פתח תקווה",true
Padel Center,ראשון לציון,מרכז,"דוד רמז 96, ראשון לציון",true
Family Park,ראשון לציון,מרכז,"לוי אשכול 128, ראשון לציון",true
Top Padel - סביון,סביון,מרכז,"שקמה 1, סביון",true
A Padel,סביון,מרכז,"קאנטרי קלאב סביון, סביון",true
Tennis & Padel Club - קאנטרי,נס ציונה,מרכז,"פאבל פרנקל 1, נס ציונה",true
Steel Tennis,הרצליה,מרכז,"רמת ים 100, הרצליה פיתוח",true
פאדל ישראל מכבי,רחובות,מרכז,"קושלביץ בנימין 9, רחובות",true
Padel Time - רחובות,רחובות,מרכז,"אלי הורוביץ 29, רחובות",true
Padel Game Time,רחובות,מרכז,"מרכז נופש הפקולטה לחקלאות, רחובות",true
Padel Time - חולון,חולון,מרכז,"הלוחמים 30, חולון",true
Padel Time - יבנה,יבנה,מרכז,"פארק המים יבנה, יבנה",true
Padel Time - גבעת שמואל,גבעת שמואל,מרכז,"הזיתים 92, גבעת שמואל",true
Padel Smash Point,בני ציון,שרון,"חורשת האקליפטוס 17, בני ציון",true
Top Padel - עיר ימים,נתניה,שרון,"שדרות בן גוריון 170, נתניה",true
Top Padel - פולג,נתניה,שרון,"שולמית 3, נתניה",true
מרכז הטניס כוכב יאיר,כוכב יאיר,שרון,"דרך המרכז 3, כוכב יאיר",true
האוס פאדל,בית ברל,שרון,"בית ברל",true
קאנטרי קלאב כפר סבא,כפר סבא,שרון,"בן יהודה 73, כפר סבא",true
פארק יצחק וולד,כפר סבא,שרון,"פארק עירוני יצחק וולד, כפר סבא",true
Padel Time - רעננה,רעננה,שרון,"הסדנה 15, רעננה",true
מרכז הטניס ישראל - רמת השרון,רמת השרון,שרון,"צומת הכפר הירוק, רמת השרון",true
Padel Club - מרכז לרנר,ירושלים,ירושלים,"צ'רצ'יל 1, הר הצופים, ירושלים",true
מרכז טניס וחינוך ירושלים,ירושלים,ירושלים,"אלמליח 1, ירושלים",true
Padel Club - ירושלים,ירושלים,ירושלים,"האומן 17, ירושלים",true
מכבים פאדל קלאב,מודיעין,ירושלים,"דרך שדה ישראל 1, מודיעין",true
Padelnet - נשר,נשר,צפון,"דרך בר יהודה 113, נשר",true
מרכז טניס וחינוך חיפה,חיפה,צפון,"צביה ויצחק 2, חיפה",true
Padel Club גינוסר,גינוסר,צפון,"מלון נוף גינוסר, קיבוץ גינוסר",true
פאדל קיסריה - מרכז עסקים,קיסריה,צפון,"התותחן 13, קיסריה",true
פאדל ישראל - קיסריה,קיסריה,צפון,"רוטשילד 71, קיסריה",true
TERO מרכז ספורט,חדרה,צפון,"תמנע 4, חדרה",true
Padel Time - טבריה,טבריה,צפון,"טבריה",true
מרכז הטניס ישראל - מגדל העמק,מגדל העמק,צפון,"רמת יזרעאל 5, מגדל העמק",true
Padel Club - באר שבע,באר שבע,דרום,"חיל ההנדסה 1, באר שבע",true
מרכז הטניס ישראל - באר שבע,באר שבע,דרום,"יהודה הלוי, באר שבע",true
Padelz Club,באר שבע,דרום,"דרך אילן רמון 36, באר שבע",true
Tennis & Padel Academy,אילת,דרום,"נתיב טורקיז, אילת",true
Total Padel,שדרות,דרום,"הארזים 13, שדרות",true
פאדליה,אשדוד,דרום,"הים 7, פארק אשדוד, אשדוד",true
